Code,Name,Market,Close,Change,Volume,Amount,UpdatedAt
298380,에이비엘바이오,KOSDAQ,156800,-1.88,457782,72323263300,2026-04-04 21:27
000880,한화,KOSPI,113700,2.52,200331,22868489200,2026-04-04 21:27
003490,대한항공,KOSPI,23000,-0.86,2263802,52023964800,2026-04-04 21:27
950160,코오롱티슈진,KOSDAQ,100200,0.1,330482,33076100550,2026-04-04 21:27
058470,리노공업,KOSDAQ,110400,11.4,934117,99107474800,2026-04-04 21:27
006260,LS,KOSPI,268000,1.32,94650,25454412750,2026-04-04 21:27
016360,삼성증권,KOSPI,93400,0.86,212401,19959852350,2026-04-04 21:27
005387,현대차2우B,KOSPI,238000,0.63,149545,35541079750,2026-04-04 21:27
443060,HD현대마린솔루션,KOSPI,178400,4.82,59795,10667574800,2026-04-04 21:27
028050,삼성E&A,KOSPI,40550,15.53,7790091,313860978450,2026-04-04 21:27
090430,아모레퍼시픽,KOSPI,131500,-2.08,116724,15539384100,2026-04-04 21:27
011070,LG이노텍,KOSPI,324500,-1.22,276917,92409099250,2026-04-04 21:27
007660,이수페타시스,KOSPI,102600,0.79,539547,55836799600,2026-04-04 21:27
000100,유한양행,KOSPI,92800,-0.11,126931,11853588400,2026-04-04 21:27
326030,SK바이오팜,KOSPI,94100,-0.21,109765,10328023550,2026-04-04 21:27
180640,한진칼,KOSPI,108900,-1.89,69509,7662276500,2026-04-04 21:27
267270,HD건설기계,KOSPI,146100,3.99,373929,54604322000,2026-04-04 21:27
047040,대우건설,KOSPI,16810,2.25,32764212,564640592015,2026-04-04 21:27
028300,HLB,KOSDAQ,51100,0.2,321569,16513101150,2026-04-04 21:27
009830,한화솔루션,KOSPI,39050,9.69,10292583,408383479350,2026-04-04 21:27
066970,엘앤에프,KOSPI,166400,2.97,1052347,173129980800,2026-04-04 21:27
032640,LG유플러스,KOSPI,15330,-1.1,725089,11118375805,2026-04-04 21:27
128940,한미약품,KOSPI,507000,0.4,47643,24386950500,2026-04-04 21:27
377300,카카오페이,KOSPI,47900,1.59,231541,11089757750,2026-04-04 21:27
161390,한국타이어앤테크놀로지,KOSPI,52000,-3.53,308364,16257135200,2026-04-04 21:27
087010,펩트론,KOSDAQ,275500,-2.3,100873,28157179750,2026-04-04 21:27
141080,리가켐바이오,KOSDAQ,175000,-3.53,450584,79296694600,2026-04-04 21:27
052690,한전기술,KOSPI,162900,4.29,162570,26646792550,2026-04-04 21:27
029780,삼성카드,KOSPI,52100,0.97,87331,4548220050,2026-04-04 21:27
078930,GS,KOSPI,63300,0.8,148322,9423838050,2026-04-04 21:27
241560,두산밥캣,KOSPI,60600,1.0,136470,8345429150,2026-04-04 21:27
214370,케어젠,KOSDAQ,107500,1.13,142676,15181147500,2026-04-04 21:27
064400,LG씨엔에스,KOSPI,57600,1.95,252203,14601964450,2026-04-04 21:27
240810,원익IPS,KOSDAQ,113500,3.84,295515,32990644700,2026-04-04 21:27
001040,CJ,KOSPI,190700,1.38,78237,15000939650,2026-04-04 21:27
005385,현대차우,KOSPI,236000,0.21,75649,17891023750,2026-04-04 21:27
175330,JB금융지주,KOSPI,29200,1.21,252808,7473111400,2026-04-04 21:27
